TRINITY_DN5655_c0_g1_i1	sp|P20035|HGXR_PLAFG	56.481	216	90	3	63	707	15	227	6.36e-81	246
TRINITY_DN5691_c0_g1_i1	sp|Q8C4J7|TBL3_MOUSE	42.857	245	126	5	712	17	400	643	1.84e-57	198
TRINITY_DN5627_c0_g1_i1	sp|Q9NX58|LYAR_HUMAN	39.706	136	77	3	20	418	1	134	4.59e-26	105
TRINITY_DN5653_c0_g1_i1	sp|P48598|IF4E_DROME	43.506	154	78	4	271	729	81	226	8.12e-30	117
TRINITY_DN5610_c0_g1_i1	sp|P34736|TKT_PICST	50.725	276	130	2	824	15	311	586	7.46e-86	273
TRINITY_DN5607_c0_g1_i1	sp|Q9VXK6|IF5_DROME	43.860	171	89	4	520	14	4	169	3.54e-38	141
TRINITY_DN5630_c0_g1_i1	sp|Q803X4|DCA13_DANRE	52.809	445	207	2	1393	68	1	445	1.77e-166	480
TRINITY_DN5664_c0_g1_i1	sp|Q8K339|KIN17_MOUSE	41.065	263	148	4	811	38	1	261	2.07e-61	202
TRINITY_DN5613_c0_g1_i1	sp|Q54ED4|GRWD1_DICDI	44.796	221	110	4	16	657	264	479	4.84e-61	202
TRINITY_DN5644_c0_g1_i1	sp|Q9FNK4|OAT_ARATH	30.928	291	183	8	70	936	171	445	3.71e-28	118
TRINITY_DN5673_c0_g1_i1	sp|Q54JP5|OAT_DICDI	58.000	150	61	1	1	450	264	411	1.62e-56	186
TRINITY_DN5692_c0_g1_i1	sp|Q9LHG8|ELC_ARATH	39.695	131	77	1	524	138	29	159	2.95e-25	105
TRINITY_DN5612_c0_g1_i1	sp|Q9U4N3|COPB_TOXGO	50.342	292	132	4	9	860	19	305	4.77e-81	268
TRINITY_DN5608_c0_g1_i1	sp|Q869S7|SUCB2_DICDI	51.250	400	192	1	66	1256	20	419	2.92e-145	422
TRINITY_DN5643_c0_g1_i1	sp|P0CM16|ARF_CRYNJ	81.356	177	30	1	720	190	1	174	2.89e-105	306
TRINITY_DN5695_c0_g1_i1	sp|O54781|SRPK2_MOUSE	55.556	180	79	1	676	140	500	679	2.65e-61	206
